current_price,competitor_price,recommended_price,action,confidence,positioning
37.04,36.87,34.08,decrease,1.0,Competitive
54.12,53.03,49.79,decrease,1.0,Competitive
67.64,63.53,62.23,decrease,1.0,Competitive
82.18,87.09,82.18,hold,0.999,Competitive
42.62,42.01,39.21,decrease,1.0,Competitive
11.54,11.27,10.62,decrease,1.0,Competitive
16.3,17.98,16.3,hold,1.0,Competitive
98.31,102.42,98.31,hold,0.999,Competitive
48.96,50.03,48.96,hold,0.999,Competitive
88.22,91.16,88.22,hold,0.999,Competitive
11.04,9.14,10.17,decrease,0.99,Overpriced
27.95,30.89,27.95,hold,1.0,Competitive
19.78,18.76,18.2,decrease,1.0,Competitive
70.99,72.93,78.09,increase,1.0,Competitive
49.56,50.46,49.56,hold,1.0,Competitive
23.76,19.19,21.87,decrease,0.995,Overpriced
47.56,46.82,43.76,decrease,1.0,Competitive
17.1,17.0,15.73,decrease,1.0,Competitive
58.89,61.56,58.89,hold,1.0,Competitive
99.76,95.61,91.78,decrease,1.0,Competitive
11.44,12.71,11.44,hold,1.0,Competitive
53.84,53.79,49.53,decrease,1.0,Competitive
57.84,60.99,57.84,hold,1.0,Competitive
35.51,31.06,32.67,decrease,1.0,Overpriced
31.41,28.6,28.9,decrease,1.0,Competitive
28.06,30.29,28.06,hold,0.999,Competitive
35.67,38.02,35.67,hold,1.0,Competitive
28.18,27.5,25.93,decrease,1.0,Competitive
74.42,69.67,68.47,decrease,1.0,Competitive
91.95,87.43,84.59,decrease,1.0,Competitive
97.88,99.5,97.88,hold,0.999,Competitive
66.57,63.92,66.57,hold,1.0,Competitive
90.36,86.73,83.13,decrease,1.0,Competitive
92.24,89.57,84.86,decrease,1.0,Competitive
68.71,69.34,68.71,hold,1.0,Competitive
87.22,90.59,87.22,hold,1.0,Competitive
79.38,77.28,73.03,decrease,1.0,Competitive
17.41,13.57,16.03,decrease,0.994,Overpriced
14.8,13.94,13.62,decrease,1.0,Competitive
30.5,28.86,28.06,decrease,1.0,Competitive
27.84,32.0,27.84,hold,0.998,Underpriced
88.62,86.3,81.53,decrease,1.0,Competitive
82.35,83.13,82.35,hold,1.0,Competitive
92.57,97.09,92.57,hold,0.999,Competitive
94.38,89.47,86.83,decrease,1.0,Competitive
70.59,75.27,70.59,hold,0.999,Competitive
63.13,67.23,63.13,hold,0.999,Competitive
46.04,41.4,42.38,decrease,0.993,Overpriced
21.07,21.71,21.07,hold,0.999,Competitive
79.11,80.06,87.02,increase,1.0,Competitive
64.99,65.4,64.99,hold,1.0,Competitive
73.48,72.55,67.6,decrease,1.0,Competitive
87.5,91.2,87.5,hold,1.0,Competitive
88.68,87.38,81.59,decrease,1.0,Competitive
82.36,85.85,82.36,hold,1.0,Competitive
38.56,36.57,35.48,decrease,1.0,Competitive
97.74,97.69,89.92,decrease,1.0,Competitive
37.68,36.72,34.67,decrease,1.0,Competitive
36.03,37.49,36.03,hold,0.999,Competitive
88.97,91.53,88.97,hold,0.999,Competitive
16.48,21.42,16.48,hold,0.999,Underpriced
58.37,58.1,53.7,decrease,1.0,Competitive
27.86,31.78,27.86,hold,1.0,Underpriced
39.14,35.3,36.03,decrease,0.995,Overpriced
66.51,70.84,66.51,hold,0.999,Competitive
89.65,84.99,82.48,decrease,1.0,Competitive
86.7,91.05,86.7,hold,0.999,Competitive
29.69,25.27,27.32,decrease,0.999,Overpriced
86.93,82.59,79.98,decrease,1.0,Competitive
59.33,54.98,54.58,decrease,1.0,Competitive
57.07,53.34,52.5,decrease,1.0,Competitive
74.16,69.74,68.23,decrease,1.0,Competitive
59.38,62.4,59.38,hold,1.0,Competitive
48.18,49.64,48.18,hold,1.0,Competitive
94.75,90.1,87.17,decrease,1.0,Competitive
60.89,59.42,56.02,decrease,1.0,Competitive
14.71,16.85,14.71,hold,1.0,Underpriced
33.09,28.55,30.45,decrease,0.998,Overpriced
98.75,102.7,98.75,hold,1.0,Competitive
12.4,8.56,10.27,decrease,0.997,Overpriced
92.01,87.81,84.65,decrease,1.0,Competitive
92.12,87.37,92.12,hold,1.0,Competitive
37.39,38.71,37.39,hold,0.999,Competitive
85.35,80.79,78.52,decrease,1.0,Competitive
82.64,78.35,76.03,decrease,1.0,Competitive
92.19,97.07,92.19,hold,1.0,Competitive
61.41,61.32,56.5,decrease,1.0,Competitive
96.47,93.35,88.75,decrease,1.0,Competitive
89.33,89.63,89.33,hold,1.0,Competitive
59.49,57.55,54.73,decrease,1.0,Competitive
73.05,74.55,73.05,hold,1.0,Competitive
67.49,65.24,62.09,decrease,1.0,Competitive
66.05,65.16,60.77,decrease,1.0,Competitive
80.88,84.97,80.88,hold,0.999,Competitive
60.5,64.88,60.5,hold,1.0,Competitive
71.72,75.17,71.72,hold,1.0,Competitive
69.21,71.17,69.21,hold,1.0,Competitive
70.69,71.37,70.69,hold,1.0,Competitive
63.54,61.05,58.46,decrease,1.0,Competitive
78.08,73.69,71.83,decrease,1.0,Competitive
43.09,47.02,43.09,hold,1.0,Competitive
25.67,27.78,25.67,hold,1.0,Competitive
38.59,33.87,35.51,decrease,0.998,Overpriced
57.99,55.4,53.35,decrease,1.0,Competitive
14.65,13.12,13.48,decrease,0.994,Overpriced
63.26,61.02,58.2,decrease,1.0,Competitive
43.64,39.13,40.15,decrease,1.0,Overpriced
84.85,84.29,84.85,hold,1.0,Competitive
47.05,47.89,47.05,hold,1.0,Competitive
76.83,75.86,70.68,decrease,1.0,Competitive
93.95,98.89,93.95,hold,0.999,Competitive
62.7,58.22,57.68,decrease,1.0,Competitive
54.02,52.91,49.7,decrease,1.0,Competitive
26.03,29.38,26.03,hold,0.999,Underpriced
10.19,7.82,9.38,decrease,0.991,Overpriced
95.54,91.29,87.9,decrease,1.0,Competitive
57.65,58.01,57.65,hold,1.0,Competitive
87.85,91.9,87.85,hold,0.999,Competitive
53.94,51.47,49.62,decrease,1.0,Competitive
61.42,65.86,61.42,hold,0.999,Competitive
99.14,102.66,99.14,hold,1.0,Competitive
60.52,62.72,60.52,hold,1.0,Competitive
86.93,83.11,79.98,decrease,1.0,Competitive
83.11,85.16,83.11,hold,1.0,Competitive
32.28,30.1,29.7,decrease,1.0,Competitive
52.17,52.43,52.17,hold,1.0,Competitive
93.61,94.15,93.61,hold,1.0,Competitive
98.25,100.34,98.25,hold,1.0,Competitive
78.53,75.48,72.25,decrease,1.0,Competitive
56.91,54.2,52.36,decrease,1.0,Competitive
35.32,37.56,35.32,hold,1.0,Competitive
48.08,49.4,48.08,hold,0.999,Competitive
46.95,43.48,43.19,decrease,1.0,Competitive
94.45,99.26,94.45,hold,0.999,Competitive
27.28,28.61,27.28,hold,1.0,Competitive
29.74,31.67,29.74,hold,0.999,Competitive
27.64,27.19,27.64,hold,1.0,Competitive
60.54,55.83,55.7,decrease,1.0,Competitive
58.55,63.45,58.55,hold,1.0,Competitive
58.59,60.98,58.59,hold,0.999,Competitive
95.48,91.76,87.84,decrease,1.0,Competitive
37.81,37.14,34.79,decrease,1.0,Competitive
48.7,51.33,48.7,hold,1.0,Competitive
65.89,64.52,60.62,decrease,1.0,Competitive
20.37,23.3,20.37,hold,0.999,Underpriced
46.25,49.2,46.25,hold,0.999,Competitive
71.74,76.17,71.74,hold,1.0,Competitive
20.57,22.24,20.57,hold,0.999,Competitive
29.88,25.73,27.51,decrease,0.991,Overpriced
73.98,73.5,68.06,decrease,1.0,Competitive
45.02,47.01,45.02,hold,1.0,Competitive
82.88,86.74,82.88,hold,0.999,Competitive
17.36,17.32,17.36,hold,1.0,Competitive
42.7,40.38,39.28,decrease,1.0,Competitive
89.67,88.99,82.5,decrease,1.0,Competitive
65.77,61.06,60.51,decrease,1.0,Competitive
95.74,94.29,95.74,hold,1.0,Competitive
98.9,97.62,90.99,decrease,1.0,Competitive
41.11,36.9,37.84,decrease,0.994,Overpriced
42.07,37.66,38.73,decrease,0.994,Overpriced
95.89,96.19,95.89,hold,1.0,Competitive
84.12,89.06,84.12,hold,0.999,Competitive
71.21,74.71,71.21,hold,0.999,Competitive
49.23,47.75,45.29,decrease,1.0,Competitive
21.87,25.0,21.87,hold,0.999,Underpriced
60.83,60.34,60.83,hold,1.0,Competitive
56.78,60.75,56.78,hold,1.0,Competitive
76.12,77.55,76.12,hold,0.999,Competitive
98.9,96.55,90.99,decrease,1.0,Competitive
46.24,47.84,46.24,hold,0.999,Competitive
16.35,19.59,16.35,hold,0.998,Underpriced
83.63,79.9,76.94,decrease,1.0,Competitive
81.57,77.66,75.04,decrease,1.0,Competitive
44.68,42.55,41.11,decrease,1.0,Competitive
60.11,62.3,60.11,hold,0.999,Competitive
24.63,27.97,24.63,hold,1.0,Underpriced
36.31,34.82,33.41,decrease,1.0,Competitive
11.36,15.64,11.36,hold,0.998,Underpriced
63.1,65.17,63.1,hold,0.999,Competitive
30.82,35.26,30.82,hold,0.999,Underpriced
23.73,21.84,21.83,decrease,1.0,Competitive
29.49,31.68,29.49,hold,0.999,Competitive
74.42,75.61,74.42,hold,0.999,Competitive
58.3,59.12,58.3,hold,1.0,Competitive
60.58,58.02,55.73,decrease,1.0,Competitive
73.48,77.0,73.48,hold,1.0,Competitive
16.18,18.35,16.18,hold,0.999,Underpriced
38.52,39.57,38.52,hold,1.0,Competitive
46.93,46.83,43.18,decrease,1.0,Competitive
80.41,76.9,73.98,decrease,1.0,Competitive
95.33,97.42,95.33,hold,0.999,Competitive
36.3,34.96,33.4,decrease,1.0,Competitive
82.08,84.13,82.08,hold,1.0,Competitive
46.4,49.42,46.4,hold,1.0,Competitive
59.76,57.14,59.76,hold,1.0,Competitive
60.35,60.81,60.35,hold,0.999,Competitive
40.61,44.37,40.61,hold,1.0,Competitive
63.61,63.81,63.61,hold,1.0,Competitive
97.09,95.17,89.32,decrease,1.0,Competitive
52.72,55.74,52.72,hold,0.999,Competitive
14.41,11.25,13.26,decrease,0.998,Overpriced
74.14,69.67,68.21,decrease,1.0,Competitive
46.94,46.58,43.18,decrease,1.0,Competitive
23.04,19.33,21.2,decrease,0.996,Overpriced
28.02,23.72,25.79,decrease,0.994,Overpriced
86.82,85.26,79.87,decrease,1.0,Competitive
80.31,76.56,73.89,decrease,1.0,Competitive
41.28,40.59,37.98,decrease,1.0,Competitive
38.42,35.98,35.35,decrease,1.0,Competitive
59.93,64.67,59.93,hold,0.999,Competitive
66.76,62.53,61.42,decrease,1.0,Competitive
77.88,75.99,71.65,decrease,1.0,Competitive
88.22,87.44,81.16,decrease,1.0,Competitive
10.55,7.6,9.12,decrease,0.998,Overpriced
44.81,45.53,44.81,hold,1.0,Competitive
69.65,73.5,69.65,hold,1.0,Competitive
53.35,55.07,53.35,hold,1.0,Competitive
33.47,28.95,33.47,hold,0.994,Overpriced
61.1,58.46,61.1,hold,1.0,Competitive
45.25,46.74,45.25,hold,1.0,Competitive
94.98,98.87,94.98,hold,1.0,Competitive
24.21,25.48,24.21,hold,1.0,Competitive
66.07,70.84,66.07,hold,0.999,Competitive
34.68,33.73,31.91,decrease,1.0,Competitive
98.28,95.38,90.42,decrease,1.0,Competitive
87.24,88.66,87.24,hold,0.999,Competitive
93.4,93.22,85.93,decrease,1.0,Competitive
53.02,57.08,53.02,hold,0.999,Competitive
58.54,60.77,58.54,hold,0.999,Competitive
63.29,61.73,58.23,decrease,1.0,Competitive
10.93,10.76,10.06,decrease,1.0,Competitive
45.49,44.33,41.85,decrease,1.0,Competitive
52.33,51.78,48.14,decrease,1.0,Competitive
41.55,44.02,45.7,increase,1.0,Competitive
58.13,61.63,58.13,hold,1.0,Competitive
25.67,23.55,25.67,hold,1.0,Competitive
33.96,29.22,31.25,decrease,0.996,Overpriced
81.35,82.18,81.35,hold,1.0,Competitive
57.34,56.99,52.75,decrease,1.0,Competitive
50.36,47.77,46.33,decrease,1.0,Competitive
51.34,53.35,51.34,hold,0.999,Competitive
13.09,11.98,12.04,decrease,1.0,Competitive
94.85,93.92,87.26,decrease,1.0,Competitive
16.47,17.47,16.47,hold,0.999,Competitive
82.15,79.63,82.15,hold,1.0,Competitive
61.13,62.56,61.13,hold,1.0,Competitive
63.74,61.83,58.64,decrease,1.0,Competitive
66.78,67.89,66.78,hold,1.0,Competitive
30.12,27.89,27.71,decrease,1.0,Competitive
31.26,33.52,31.26,hold,0.999,Competitive
21.47,17.22,21.47,hold,0.994,Overpriced
81.01,83.63,81.01,hold,0.999,Competitive
59.97,61.76,59.97,hold,0.999,Competitive
26.87,30.53,26.87,hold,1.0,Underpriced
99.12,97.69,91.19,decrease,1.0,Competitive
24.29,25.5,24.29,hold,1.0,Competitive
18.48,17.76,18.48,hold,1.0,Competitive
54.73,52.32,50.35,decrease,1.0,Competitive
59.61,57.85,54.84,decrease,1.0,Competitive
14.64,12.8,13.47,decrease,0.997,Overpriced
63.63,62.96,58.54,decrease,1.0,Competitive
95.99,95.78,88.31,decrease,1.0,Competitive
75.41,75.03,69.38,decrease,1.0,Competitive
24.19,28.03,24.19,hold,0.999,Underpriced
85.33,82.64,78.5,decrease,1.0,Competitive
15.58,19.75,15.58,hold,0.999,Underpriced
19.63,20.65,19.63,hold,0.999,Competitive
53.81,49.72,49.51,decrease,1.0,Competitive
37.49,40.66,37.49,hold,0.999,Competitive
38.2,38.42,38.2,hold,1.0,Competitive
84.13,84.05,77.4,decrease,1.0,Competitive
20.39,21.17,20.39,hold,0.999,Competitive
70.46,66.42,64.82,decrease,1.0,Competitive
53.13,48.66,48.88,decrease,1.0,Competitive
82.0,81.29,75.44,decrease,1.0,Competitive
75.55,75.67,75.55,hold,1.0,Competitive
50.26,47.5,46.24,decrease,1.0,Competitive
56.58,52.57,52.05,decrease,1.0,Competitive
37.17,32.41,34.2,decrease,1.0,Overpriced
82.75,83.85,82.75,hold,1.0,Competitive
23.53,24.56,23.53,hold,0.999,Competitive
56.3,60.74,56.3,hold,0.999,Competitive
94.09,90.8,86.56,decrease,1.0,Competitive
24.53,23.7,22.57,decrease,1.0,Competitive
70.33,72.22,70.33,hold,0.999,Competitive
79.68,77.12,73.31,decrease,1.0,Competitive
25.69,27.17,25.69,hold,1.0,Competitive
25.04,29.56,25.04,hold,0.998,Underpriced
56.02,59.96,56.02,hold,1.0,Competitive
31.39,29.82,31.39,hold,1.0,Competitive
86.86,89.19,86.86,hold,1.0,Competitive
21.71,24.12,21.71,hold,0.999,Competitive
40.56,39.9,37.32,decrease,1.0,Competitive
29.2,30.66,29.2,hold,0.999,Competitive
82.18,78.43,75.61,decrease,1.0,Competitive
45.85,43.84,42.18,decrease,1.0,Competitive
42.08,37.49,38.72,decrease,0.998,Overpriced
51.22,54.22,51.22,hold,0.999,Competitive
62.03,64.13,62.03,hold,0.999,Competitive
36.53,35.63,33.61,decrease,1.0,Competitive
84.66,79.81,77.89,decrease,1.0,Competitive
39.15,35.15,36.03,decrease,0.997,Overpriced
45.65,48.04,45.65,hold,0.999,Competitive
40.27,41.66,40.27,hold,1.0,Competitive
82.99,87.85,82.99,hold,1.0,Competitive
60.15,61.9,60.15,hold,0.999,Competitive
15.19,12.13,13.98,decrease,0.995,Overpriced
37.46,33.09,34.48,decrease,0.994,Overpriced
34.44,33.51,31.68,decrease,1.0,Competitive
84.99,85.21,84.99,hold,1.0,Competitive
81.63,78.32,75.1,decrease,1.0,Competitive
28.46,29.4,28.46,hold,0.999,Competitive
79.54,80.22,79.54,hold,0.999,Competitive
80.57,78.89,74.12,decrease,1.0,Competitive
93.53,93.55,93.53,hold,1.0,Competitive
46.13,42.56,42.44,decrease,1.0,Competitive
60.2,57.13,55.38,decrease,1.0,Competitive
53.65,53.31,49.36,decrease,1.0,Competitive
59.2,58.19,54.46,decrease,1.0,Competitive
98.03,93.57,90.19,decrease,1.0,Competitive
32.6,32.17,29.99,decrease,1.0,Competitive
53.31,52.89,49.05,decrease,1.0,Competitive
93.96,98.29,93.96,hold,1.0,Competitive
83.3,82.46,76.64,decrease,1.0,Competitive
12.66,12.38,11.65,decrease,1.0,Competitive
55.77,59.56,55.77,hold,0.999,Competitive
30.15,26.17,27.78,decrease,0.982,Overpriced
63.75,60.02,58.65,decrease,1.0,Competitive
97.51,97.99,97.51,hold,1.0,Competitive
49.8,47.76,45.82,decrease,1.0,Competitive
33.3,37.71,33.3,hold,1.0,Underpriced
56.24,60.32,56.24,hold,1.0,Competitive
43.43,39.61,39.96,decrease,1.0,Competitive
30.78,34.67,30.78,hold,0.998,Underpriced
82.85,78.98,76.22,decrease,1.0,Competitive
87.11,83.23,80.14,decrease,1.0,Competitive
56.68,60.18,56.68,hold,1.0,Competitive
80.01,80.65,80.01,hold,1.0,Competitive
41.24,44.9,41.24,hold,0.999,Competitive
96.96,98.62,96.96,hold,0.999,Competitive
87.69,83.87,80.67,decrease,1.0,Competitive
74.45,76.99,74.45,hold,0.999,Competitive
53.28,56.77,53.28,hold,0.999,Competitive
25.38,25.99,25.38,hold,0.999,Competitive
23.84,19.73,21.93,decrease,0.999,Overpriced
52.21,56.17,52.21,hold,1.0,Competitive
79.34,79.16,72.99,decrease,1.0,Competitive
13.13,9.46,13.13,hold,0.994,Overpriced
23.28,23.86,23.28,hold,0.999,Competitive
67.3,66.27,61.92,decrease,1.0,Competitive
17.35,13.22,15.86,decrease,1.0,Overpriced
93.06,88.15,85.62,decrease,1.0,Competitive
84.04,87.67,84.04,hold,0.999,Competitive
25.75,30.21,25.75,hold,0.997,Underpriced
76.32,79.04,76.32,hold,0.999,Competitive
49.52,54.31,49.52,hold,1.0,Competitive
93.81,89.3,86.31,decrease,1.0,Competitive
76.7,73.33,70.56,decrease,1.0,Competitive
24.28,21.81,22.34,decrease,1.0,Overpriced
13.87,14.32,13.87,hold,1.0,Competitive
14.93,17.34,14.93,hold,0.999,Underpriced
22.22,25.17,22.22,hold,0.998,Underpriced
57.69,56.53,53.07,decrease,1.0,Competitive
80.36,78.62,73.93,decrease,1.0,Competitive
40.6,37.42,37.35,decrease,1.0,Competitive
86.8,90.41,86.8,hold,1.0,Competitive
30.33,27.66,27.9,decrease,1.0,Competitive
29.03,25.22,26.71,decrease,1.0,Overpriced
97.97,102.22,97.97,hold,1.0,Competitive
31.18,34.2,31.18,hold,0.999,Competitive
65.34,63.05,60.11,decrease,1.0,Competitive
57.58,58.98,57.58,hold,0.999,Competitive
54.02,58.22,54.02,hold,1.0,Competitive
69.96,70.94,69.96,hold,0.999,Competitive
51.07,50.35,46.98,decrease,1.0,Competitive
99.12,95.19,91.19,decrease,1.0,Competitive
77.59,79.28,77.59,hold,0.999,Competitive
87.6,92.28,87.6,hold,0.999,Competitive
43.67,40.57,43.67,hold,1.0,Competitive
89.52,87.3,89.52,hold,1.0,Competitive
12.89,13.92,12.89,hold,1.0,Competitive
92.7,97.29,92.7,hold,1.0,Competitive
31.47,29.24,28.95,decrease,1.0,Competitive
89.52,91.76,89.52,hold,1.0,Competitive
54.44,57.58,54.44,hold,1.0,Competitive
21.75,21.05,20.01,decrease,1.0,Competitive
60.8,58.01,60.8,hold,1.0,Competitive
60.17,55.33,55.36,decrease,1.0,Competitive
19.17,20.52,19.17,hold,1.0,Competitive
45.92,46.95,45.92,hold,1.0,Competitive
23.85,19.43,21.98,decrease,0.982,Overpriced
40.47,40.3,37.23,decrease,1.0,Competitive
26.25,28.27,26.25,hold,1.0,Competitive
82.08,82.7,82.08,hold,0.999,Competitive
50.59,54.05,50.59,hold,0.999,Competitive
49.08,45.5,45.15,decrease,1.0,Competitive
12.38,16.24,12.38,hold,0.999,Underpriced
49.02,53.33,49.02,hold,0.999,Competitive
27.8,31.34,27.8,hold,0.999,Underpriced
59.13,59.09,54.4,decrease,1.0,Competitive
43.1,42.19,43.1,hold,1.0,Competitive
13.33,13.1,12.26,decrease,1.0,Competitive
98.66,103.3,98.66,hold,1.0,Competitive
39.8,35.38,36.63,decrease,0.994,Overpriced
86.26,85.97,86.26,hold,1.0,Competitive
85.81,89.25,85.81,hold,0.999,Competitive
58.21,57.49,58.21,hold,1.0,Competitive
74.42,73.86,68.47,decrease,1.0,Competitive
53.06,56.0,53.06,hold,1.0,Competitive
61.9,60.14,56.95,decrease,1.0,Competitive
53.65,49.72,49.36,decrease,1.0,Competitive
91.05,87.3,83.77,decrease,1.0,Competitive
47.32,45.33,43.53,decrease,1.0,Competitive
54.78,52.0,50.4,decrease,1.0,Competitive
41.72,38.59,41.72,hold,1.0,Competitive
37.57,33.29,34.58,decrease,0.996,Overpriced
83.4,86.18,83.4,hold,1.0,Competitive
99.12,104.06,99.12,hold,1.0,Competitive
34.4,38.52,34.4,hold,0.999,Underpriced
59.33,62.02,59.33,hold,0.999,Competitive
33.79,36.98,33.79,hold,0.999,Competitive
60.79,61.26,60.79,hold,0.999,Competitive
63.21,60.48,58.15,decrease,1.0,Competitive
64.04,65.45,64.04,hold,0.999,Competitive
46.65,43.83,42.92,decrease,1.0,Competitive
92.22,92.67,92.22,hold,1.0,Competitive
28.27,25.68,28.27,hold,0.755,Overpriced
22.57,21.48,20.76,decrease,1.0,Competitive
81.55,76.9,75.03,decrease,1.0,Competitive
96.19,93.01,88.5,decrease,1.0,Competitive
79.76,78.21,73.38,decrease,1.0,Competitive
28.58,30.51,28.58,hold,1.0,Competitive
48.84,44.11,44.93,decrease,1.0,Overpriced
60.75,62.18,60.75,hold,0.999,Competitive
58.46,54.87,53.78,decrease,1.0,Competitive
17.93,20.75,17.93,hold,0.999,Underpriced
49.22,46.24,45.28,decrease,1.0,Competitive
43.87,40.56,40.36,decrease,1.0,Competitive
63.54,59.21,58.46,decrease,1.0,Competitive
40.94,43.03,40.94,hold,0.999,Competitive
65.09,66.25,65.09,hold,0.999,Competitive
69.04,64.21,63.52,decrease,1.0,Competitive
43.15,40.69,39.7,decrease,1.0,Competitive
49.42,53.84,49.42,hold,0.999,Competitive
76.27,79.25,76.27,hold,0.999,Competitive
22.01,26.77,22.01,hold,0.998,Underpriced
91.94,92.99,91.94,hold,1.0,Competitive
26.93,31.05,26.93,hold,0.999,Underpriced
93.1,93.47,93.1,hold,1.0,Competitive
42.65,44.37,42.65,hold,0.999,Competitive
99.48,100.87,99.48,hold,0.999,Competitive
96.28,93.98,88.58,decrease,1.0,Competitive
55.36,55.66,55.36,hold,1.0,Competitive
25.18,29.75,25.18,hold,0.999,Underpriced
61.36,58.36,56.45,decrease,1.0,Competitive
83.39,79.82,76.72,decrease,1.0,Competitive
10.97,8.7,10.09,decrease,1.0,Overpriced
11.77,10.1,10.83,decrease,1.0,Overpriced
23.44,25.32,23.44,hold,0.999,Competitive
15.82,15.76,14.55,decrease,1.0,Competitive
55.5,52.96,51.06,decrease,1.0,Competitive
58.31,54.94,53.65,decrease,1.0,Competitive
61.61,58.61,56.68,decrease,1.0,Competitive
83.41,83.38,76.74,decrease,1.0,Competitive
45.22,40.97,41.61,decrease,0.997,Overpriced
20.66,16.87,19.01,decrease,1.0,Overpriced
41.15,42.58,41.15,hold,0.999,Competitive
75.06,73.35,69.06,decrease,1.0,Competitive
11.07,13.04,11.07,hold,0.999,Underpriced
51.51,53.03,51.51,hold,1.0,Competitive
95.0,94.76,87.4,decrease,1.0,Competitive
16.86,12.11,14.53,decrease,0.99,Overpriced
20.2,15.44,18.53,decrease,0.957,Overpriced
38.42,43.03,38.42,hold,0.998,Underpriced
83.19,88.18,83.19,hold,1.0,Competitive
79.42,77.63,73.07,decrease,1.0,Competitive
79.07,81.47,79.07,hold,0.999,Competitive
